#SASDB SASDER2
#Sample description: Merged from concentrations 1.00 and 5.00 mg/ml
#Sample: Merged from con  c= 0.000 mg/ml  Code: tmp
#Parent(s): C:/Users/vives/AppData/Local/Temp/qt_temp.JF2596 C:/Users/vives/AppDa
 4.064220e-001  7.183313e+002  4.404499e+001
 4.090540e-001  7.378454e+002  4.526624e+001
 4.116850e-001  7.000401e+002  4.487381e+001
 4.143160e-001  6.370776e+002  4.358952e+001
 4.169470e-001  6.803565e+002  4.460057e+001
 4.195780e-001  6.853013e+002  4.360695e+001
 4.222090e-001  5.255708e+002  4.300005e+001
 4.248400e-001  6.963065e+002  4.450965e+001
 4.274710e-001  6.372044e+002  4.318479e+001
 4.301020e-001  6.006219e+002  4.174684e+001
 4.327340e-001  5.953479e+002  4.102830e+001
 4.353650e-001  5.653321e+002  4.068399e+001
 4.379960e-001  6.132131e+002  3.971787e+001
 4.406270e-001  5.521890e+002  3.979785e+001
 4.432580e-001  6.351653e+002  2.062217e+001
 4.458890e-001  6.354073e+002  2.026736e+001
 4.485200e-001  6.394378e+002  2.040589e+001
 4.511510e-001  6.705380e+002  2.029293e+001
 4.537820e-001  6.335448e+002  2.006484e+001
 4.564130e-001  6.171865e+002  1.964515e+001
 4.590450e-001  5.971400e+002  1.951366e+001
 4.616760e-001  5.982194e+002  1.957780e+001
 4.643070e-001  5.886663e+002  1.933422e+001
 4.669380e-001  5.833072e+002  1.924883e+001
 4.695690e-001  5.901272e+002  1.937085e+001
 4.722000e-001  6.000633e+002  1.915870e+001
 4.748310e-001  5.844243e+002  1.925760e+001
 4.774620e-001  5.424541e+002  1.851941e+001
 4.800930e-001  5.535676e+002  1.894083e+001
 4.827250e-001  5.778683e+002  1.858176e+001
 4.853560e-001  5.712152e+002  1.874276e+001
 4.879870e-001  5.619454e+002  1.856261e+001
 4.906180e-001  5.700043e+002  1.865304e+001
 4.932490e-001  5.777234e+002  1.879191e+001
 4.958800e-001  5.529105e+002  1.840754e+001
 4.985110e-001  5.832345e+002  1.866285e+001
 5.011420e-001  5.673192e+002  1.833409e+001
 5.037730e-001  5.263404e+002  1.815747e+001
 5.064050e-001  5.428001e+002  1.822078e+001
 5.090360e-001  5.476332e+002  1.851489e+001
 5.116670e-001  5.532191e+002  1.859586e+001
 5.142980e-001  5.023205e+002  1.809090e+001
 5.169290e-001  4.916055e+002  1.830534e+001
 5.195600e-001  5.355659e+002  1.884234e+001
 5.221910e-001  5.459648e+002  1.912360e+001
 5.248220e-001  5.185763e+002  1.875451e+001
 5.274530e-001  5.102680e+002  1.871236e+001
 5.300840e-001  5.321505e+002  1.913901e+001
 5.327160e-001  5.019161e+002  1.858311e+001
 5.353470e-001  5.052810e+002  1.866172e+001
 5.379780e-001  4.858703e+002  1.841415e+001
 5.406090e-001  4.847550e+002  1.807838e+001
 5.432400e-001  4.804433e+002  1.798366e+001
 5.458710e-001  4.720448e+002  1.750413e+001
 5.485020e-001  4.778541e+002  1.742303e+001
 5.511330e-001  4.846390e+002  1.739480e+001
 5.537640e-001  4.762243e+002  1.731365e+001
 5.563960e-001  4.893758e+002  1.709660e+001
 5.590270e-001  4.881334e+002  1.737284e+001
 5.616580e-001  4.565986e+002  1.681044e+001
 5.642890e-001  4.722963e+002  1.700721e+001
