#SASDB SASDEM2
#Sample description: Merged from concentrations 2.00 and 7.50 mg/ml
#Sample: Merged from con  c= 0.000 mg/ml  Code: tmp
#Parent(s): C:/Users/vives/AppData/Local/Temp/qt_temp.Yl2596 C:/Users/vives/AppDa
 5.732130e-001  1.005730e+002  4.398900e+000
 5.758480e-001  1.033560e+002  4.447920e+000
 5.784830e-001  9.571070e+001  4.344130e+000
 5.811170e-001  9.457610e+001  4.272150e+000
 5.837520e-001  9.015390e+001  4.245060e+000
 5.863870e-001  9.693040e+001  4.367470e+000
 5.890210e-001  9.670250e+001  4.325020e+000
 5.916560e-001  9.492310e+001  4.252340e+000
 5.942910e-001  9.716450e+001  4.254580e+000
 5.969250e-001  1.015850e+002  4.366090e+000
 5.995600e-001  9.564140e+001  4.242540e+000
 6.021950e-001  9.806690e+001  4.213570e+000
 6.048290e-001  9.240780e+001  4.178180e+000
 6.074640e-001  9.211540e+001  4.159800e+000
 6.100980e-001  9.228570e+001  4.225270e+000
 6.127330e-001  8.968400e+001  4.149950e+000
 6.153680e-001  9.446210e+001  4.154000e+000
 6.180020e-001  9.070350e+001  4.136870e+000
 6.206370e-001  9.262720e+001  4.117380e+000
 6.232720e-001  9.610610e+001  4.186880e+000
 6.259060e-001  9.133900e+001  4.058470e+000
 6.285410e-001  8.928600e+001  4.070640e+000
 6.311760e-001  8.915410e+001  4.068550e+000
 6.338100e-001  8.881430e+001  4.071230e+000
 6.364450e-001  9.152420e+001  4.091720e+000
 6.390800e-001  9.089530e+001  4.019150e+000
 6.417140e-001  8.765500e+001  3.999490e+000
 6.443490e-001  8.823600e+001  3.946830e+000
 6.469840e-001  8.651840e+001  3.965640e+000
 6.496180e-001  8.598600e+001  3.967580e+000
 6.522530e-001  8.296880e+001  3.884270e+000
 6.548880e-001  8.944950e+001  3.922450e+000
 6.575220e-001  9.077690e+001  3.876340e+000
 6.601570e-001  8.661060e+001  3.911720e+000
 6.627920e-001  9.189800e+001  3.940260e+000
 6.654260e-001  8.569230e+001  3.867660e+000
 6.680610e-001  8.528460e+001  3.918410e+000
 6.706960e-001  7.982510e+001  3.807750e+000
 6.733300e-001  8.272180e+001  3.873480e+000
 6.759650e-001  7.970110e+001  3.809990e+000
 6.786000e-001  7.555410e+001  3.799800e+000
 6.812340e-001  8.278770e+001  3.865570e+000
 6.838690e-001  7.946180e+001  3.796490e+000
 6.865030e-001  8.146620e+001  3.858650e+000
 6.891380e-001  8.297960e+001  3.812170e+000
 6.917730e-001  7.992620e+001  3.806450e+000
 6.944070e-001  7.738610e+001  3.750110e+000
 6.970420e-001  8.230900e+001  3.767560e+000
 6.996770e-001  8.157870e+001  3.814290e+000
 7.023110e-001  7.867100e+001  3.762300e+000
 7.049460e-001  8.223360e+001  3.778920e+000
 7.075810e-001  8.213210e+001  3.764360e+000
 7.102150e-001  7.318700e+001  3.683320e+000
 7.128500e-001  7.385960e+001  3.724170e+000
 7.154850e-001  7.729390e+001  3.685080e+000
 7.181190e-001  7.987130e+001  3.727130e+000
 7.207540e-001  7.508830e+001  3.666360e+000
 7.233890e-001  7.586890e+001  3.670160e+000
 7.260230e-001  6.892720e+001  3.635310e+000
 7.286580e-001  7.488010e+001  3.625030e+000
 7.312930e-001  7.729400e+001  3.659210e+000
 7.339270e-001  7.338830e+001  3.618410e+000
 7.365620e-001  8.054860e+001  3.682730e+000
 7.391970e-001  7.695180e+001  3.654230e+000
 7.418310e-001  7.881330e+001  3.681660e+000
 7.444660e-001  7.207470e+001  3.597810e+000
 7.471010e-001  7.109240e+001  3.567500e+000
 7.497350e-001  7.345350e+001  3.589210e+000
 7.523700e-001  7.466210e+001  3.593450e+000
 7.550040e-001  6.916160e+001  3.591910e+000
 7.576390e-001  7.234480e+001  3.658720e+000
 7.602740e-001  6.959040e+001  3.646470e+000
 7.629080e-001  6.982120e+001  3.752660e+000
 7.655430e-001  7.206900e+001  3.773190e+000
 7.681780e-001  7.071410e+001  3.783180e+000
 7.708120e-001  7.121220e+001  3.758320e+000
 7.734470e-001  6.812230e+001  3.762800e+000
 7.760820e-001  6.891120e+001  3.740010e+000
 7.787160e-001  6.373430e+001  3.699880e+000
 7.813510e-001  7.055840e+001  3.787760e+000
 7.839860e-001  6.406330e+001  3.698820e+000
 7.866200e-001  6.244320e+001  3.606910e+000
 7.892550e-001  7.093920e+001  3.613720e+000
 7.918900e-001  7.036380e+001  3.548670e+000
 7.945240e-001  6.580260e+001  3.538300e+000
 7.971590e-001  6.993870e+001  3.503260e+000
 7.997940e-001  6.512910e+001  3.517620e+000
 8.024280e-001  6.305320e+001  3.467230e+000
 8.050630e-001  6.168960e+001  3.443500e+000
 8.076980e-001  6.634400e+001  3.458640e+000
 8.103320e-001  6.580200e+001  3.450380e+000
 8.129670e-001  6.733400e+001  3.434270e+000
 8.156020e-001  6.549730e+001  3.401840e+000
 8.182360e-001  6.452760e+001  3.403070e+000
 8.208710e-001  6.339600e+001  3.398480e+000
 8.235050e-001  6.602050e+001  3.402890e+000
 8.261400e-001  6.126520e+001  3.368760e+000
 8.287750e-001  6.881950e+001  3.395940e+000
 8.314090e-001  5.699480e+001  3.338790e+000
 8.340440e-001  6.311260e+001  3.358480e+000
 8.366790e-001  6.235950e+001  3.342840e+000
 8.393130e-001  6.262400e+001  3.338370e+000
 8.419480e-001  6.063980e+001  3.293260e+000
 8.445830e-001  6.260970e+001  3.329850e+000
 8.472170e-001  6.654910e+001  3.347120e+000
 8.498520e-001  6.376780e+001  3.307070e+000
 8.524870e-001  5.828530e+001  3.288320e+000
 8.551210e-001  6.574320e+001  3.306780e+000
 8.577560e-001  6.000150e+001  3.239750e+000
 8.603910e-001  5.979940e+001  3.221550e+000
 8.630250e-001  5.381250e+001  3.178150e+000
 8.656600e-001  6.434850e+001  3.254530e+000
 8.682950e-001  5.596580e+001  3.177400e+000
 8.709290e-001  5.507240e+001  3.197300e+000
 8.735640e-001  6.138900e+001  3.200690e+000
 8.761990e-001  6.009090e+001  3.225440e+000
 8.788330e-001  5.404310e+001  3.209980e+000
 8.814680e-001  6.043610e+001  3.203200e+000
 8.841030e-001  5.494120e+001  3.202530e+000
 8.867370e-001  5.669940e+001  3.196050e+000
 8.893720e-001  5.815360e+001  3.218070e+000
 8.920070e-001  5.723800e+001  3.189740e+000
 8.946410e-001  5.558420e+001  3.182340e+000
 8.972760e-001  5.830930e+001  3.204520e+000
 8.999100e-001  5.598490e+001  3.139690e+000
 9.025450e-001  5.257440e+001  3.157220e+000
 9.051800e-001  5.693750e+001  3.147260e+000
 9.078140e-001  5.609210e+001  3.137380e+000
 9.104490e-001  5.585710e+001  3.155280e+000
 9.130840e-001  5.230170e+001  3.093940e+000
 9.157180e-001  5.364620e+001  3.146340e+000
 9.183530e-001  5.455490e+001  3.179770e+000
 9.209880e-001  5.164670e+001  3.213950e+000
 9.236220e-001  5.389450e+001  3.278810e+000
 9.262570e-001  5.656370e+001  3.279100e+000
 9.288920e-001  5.444210e+001  3.284170e+000
 9.315260e-001  5.427540e+001  3.262800e+000
 9.341610e-001  5.608570e+001  3.344210e+000
 9.367960e-001  5.029360e+001  3.289120e+000
 9.394300e-001  5.197720e+001  3.279340e+000
 9.420650e-001  4.965870e+001  3.297000e+000
 9.447000e-001  4.948340e+001  3.313990e+000
 9.473340e-001  4.942120e+001  3.356820e+000
 9.499690e-001  5.289150e+001  3.341710e+000
 9.526040e-001  4.984780e+001  3.372920e+000
 9.552380e-001  4.990480e+001  3.368620e+000
 9.578730e-001  4.915280e+001  3.333380e+000
 9.605080e-001  5.064050e+001  3.363880e+000
 9.631420e-001  5.609060e+001  3.415860e+000
 9.657770e-001  5.328930e+001  3.422150e+000
 9.684110e-001  4.996830e+001  3.396560e+000
 9.710460e-001  4.922620e+001  3.317340e+000
 9.736810e-001  4.638050e+001  3.257600e+000
 9.763150e-001  4.916670e+001  3.251420e+000
 9.789500e-001  4.835510e+001  3.235770e+000
 9.815850e-001  4.985360e+001  3.239710e+000
 9.842190e-001  5.310930e+001  3.216650e+000
 9.868540e-001  5.317220e+001  3.209730e+000
 9.894890e-001  4.944400e+001  3.165390e+000
